City,Pr/St,Cntry,lat,lng
Houston,TX,USA,29.760803,-95.369506
Massena,NY,USA,44.928021,-74.891824
STILLWATER,MN,USA,45.055745,-92.810143
Hastings,MN,USA,44.74229,-92.852565
Minnetonka,MN,USA,44.938058,-93.466322
BELLMAWR,NJ,USA,39.866488,-75.079485
Bojnice,,SVK,48.77875,18.58295
Fort Lauderdale,FL,USA,26.124163,-80.143586
Natick,MA,USA,42.283773,-71.347292
Rancho Cucamonga,CA,USA,34.106399,-117.575764
Bolton,CT,USA,41.770886,-72.443722
Dorchester,MA,USA,42.297199,-71.074997
Ithaca,NY,USA,42.422372,-76.461572
Commerce,MI,USA,42.590972,-83.490865
Ornskoldsvik,,SWE,63.29071,18.7156
St. Clair,MI,USA,42.820979,-82.486312
Barrie,ON,CAN,44.1207,-79.56649
Milwaukee,WI,USA,43.041072,-87.909421
Hingham,MA,USA,42.241794,-70.890006
Rosenheim,,DEU,47.853927,12.127262
Pembroke Pines,FL,USA,26.006156,-80.279747
Nousiainen,,FIN,60.59892,22.08239
Vaxjo,,SWE,56.92424,14.7332
Minneapolis,MN,USA,44.977479,-93.264346
Burnsville,MN,USA,44.762056,-93.275772
Palos,IL,USA,41.703762,-87.831846
San Francisco,CA,USA,37.78008,-122.420168
Loviisa,,FIN,60.45699,26.2255
Sun Prairie,WI,USA,43.183305,-89.213637
Syracuse,NY,USA,43.047945,-76.147448
Elk River,MN,USA,45.307777,-93.57741
Kennebunkport,ME,USA,43.360884,-70.474104
Tyumen,,RUS,55.36559,55.91308
Edmonton,AB,CAN,52.13543,-113.8727
Boston,MA,USA,42.358894,-71.056742
Pontiac,MI,USA,42.638782,-83.292696
Port Huron,MI,USA,42.975041,-82.424522
Hopkins,MN,USA,44.924392,-93.413946
SANDY,UT,USA,40.569705,-111.897282
Madison,WI,USA,43.073926,-89.385244
Dearborn Heights,MI,USA,42.331748,-83.277557
Sternberk,,CZE,49.73032,17.2971
Eau Claire,WI,USA,44.812135,-91.49917
Massapequa,NY,USA,40.675899,-73.474602
Rochester Hills,MI,USA,42.652398,-83.132561
Riverside,CT,USA,41.033877,-73.579464
Belleville,ON,CAN,43.79474,-79.74813
San Diego,CA,USA,32.71576,-117.163817
Anahim Lake,BC,CAN,52.47392,-125.32879
Island Park,NY,USA,40.601336,-73.655878
Fussen,,DEU,47.570921,10.697709
Oxford,MI,USA,42.824749,-83.264049
Braintree,MA,USA,42.207125,-71.004215
Ceské Budejovice,,CZE,48.97391,14.47502
Edina,MN,USA,44.910489,-93.348666
Kansas City,MO,USA,39.099792,-94.578559
Plzen,,CZE,49.52271,13.12021
Ville Degelis,QC,CAN,47.547063,-68.642984
Forssa,,FIN,60.81293,23.62138
South St. Paul,MN,USA,44.89068,-93.037253
Middletown,NJ,USA,40.394098,-74.117227
Härnösand,,SWE,62.63232,17.93795
Marshfield,MA,USA,42.091912,-70.710266
Helsingborg,,SWE,56.03867,12.6732
De Pere,WI,USA,44.44754,-88.070584
Chicago,IL,USA,41.883229,-87.632398
Everett,WA,USA,47.97913,-122.195893
Biddeford,ME,USA,43.482944,-70.471358
