City,Pr/St,Cntry,lat,lng
Longueuil,QC,CA,45.513373,-73.430968
Winterthur,,CH,47.499169,8.72915
Laval,QC,CA,45.583734,-73.750071
Binscarth,MB,CA,50.626307,-101.28178
Battleford,SK,CA,52.736258,-108.318344
Kindersley,SK,CA,51.474937,-109.144815
Wilcox,SK,CA,50.097071,-104.725126
Rosenheim,,DE,47.853927,12.127262
Salmon Arm,BC,CA,50.700148,-119.28391
Kitchener,ON,CA,43.449787,-80.489089
Grand Rapids,MI,US,42.965446,-85.670209
Cherry Hill,NJ,US,39.925801,-75.030928
Lakeville,MN,US,44.655985,-93.242746
Warroad,MN,US,48.906708,-95.320123
Markham,ON,CA,43.873987,-79.259867
Halmstad,,SE,56.673983,12.857483
Stockholm,,SE,59.330761,18.06131
Vienna,,AT,48.192309,16.371364
Victoria,BC,CA,48.4275,-123.367259
Greenwich,CT,US,41.026526,-73.628549
Shaunavon,SK,CA,49.646149,-108.413841
Malmö,,SE,55.605293,13.000157
Moncton,NB,CA,46.088878,-64.775822
Savonlinna,,FI,62.011183,28.774486
Kalajoki,,FI,64.260017,23.950545
Lycksele,,SE,64.595862,18.677756
Merrimack,NH,US,42.866953,-71.495437
Baudette,MN,US,48.712482,-94.600115
West Vancouver,BC,CA,49.338206,-123.168017
East Lansing,MI,US,42.781472,-84.482761
Woodstock,ON,CA,43.130387,-80.754677
Milford,CT,US,41.224276,-73.057564
Dorval,QC,CA,45.450845,-73.75202
Hinsdale,IL,US,41.803685,-87.927236
Rodovre,,DK,55.68125,12.454729
Ottawa,ON,CA,45.420421,-75.692432
Vancouver,BC,CA,49.263566,-123.138572
Chicago,IL,US,41.883229,-87.632398
Sicamous,BC,CA,50.833984,-118.980842
Toronto,ON,CA,43.651893,-79.381713
Rancho Cucamonga,CA,US,34.106399,-117.575764
Newport News,VA,US,36.977714,-76.430349
San Francisco,CA,US,37.78008,-122.420168
Denver,CO,US,39.738453,-104.984853
Holliston,MA,US,42.20053,-71.42789
Flin Flon,MB,CA,54.767984,-101.864065
Bronxville,NY,US,40.936383,-73.831381
Lac-Beauport,QC,CA,46.947341,-71.295
Sauble Beach,ON,CA,44.6361,-81.2692
Brampton,ON,CA,43.68402,-79.759046
Uppsala,,SE,59.859413,17.64112
Dearborn Heights,MI,US,42.331748,-83.277557
Livonia,MI,US,42.39709,-83.36961
Gardena,CA,US,33.883764,-118.309144
Caledonia,ON,CA,43.066601,-79.949898
Evanston,IL,US,42.052157,-87.687867
Plantation,FL,US,26.128276,-80.242374
Brno,,CZ,49.192244,16.611338
Port Huron,MI,US,42.975041,-82.424522
Rumson,NJ,US,40.376192,-74.009949
Windsor,ON,CA,42.314081,-83.036857
Lethbridge,AB,CA,49.69458,-112.833808
Anahim Lake,BC,CA,52.449902,-125.300003
Chaska,MN,US,44.78933,-93.601848
Brantford,ON,CA,43.139405,-80.263646
Winnipeg,MB,CA,49.900496,-97.139309
Kelowna,BC,CA,49.883706,-119.493496
Härnösand,,SE,62.632308,17.937991
St. Catharines,ON,CA,43.159989,-79.247016
SANDY,UT,US,40.569705,-111.897282
Charlotte,NC,US,35.222936,-80.840161
Nassjo,,SE,57.653038,14.698155
