Born,City,Pr/St,Cntry,Nat,LN,FN,Position,Team
1989/11/21,Dorchester,MA,US,US,Hayes,Jimmy,RW,NJD
1987/12/23,Helsinki,,FI,FI,Lehtera,Jori,C,PHI
1990/06/07,Winnipeg,MB,CA,CA,Stone,Michael,D,CGY
1982/04/18,Regina,SK,CA,CA,Hartnell,Scott,LW,NSH
1981/03/24,Bolton,CT,US,US,Hainsey,Ron,D,TOR
1979/09/26,Regina,SK,CA,CA,Kunitz,Chris,LW,TBL
1990/02/06,Brantford,ON,CA,CA,Henrique,Adam,C,"NJD, ANA"
1980/09/26,San Francisco,CA,US,US,Orpik,Brooks,D,WSH
1995/03/30,SANDY,UT,US,US,Brickley,Daniel,D,LAK
1991/02/22,Golden,BC,CA,CA,McKenzie,Curtis,LW,DAL
1993/06/08,Dubuque,IA,US,US,Poolman,Tucker,D,WPG
1981/10/04,Cobourg,ON,CA,CA,Williams,Justin,RW,CAR
1981/01/12,Stockholm,,SE,SE,Kronwall,Niklas,D,DET
1990/05/30,Marshfield,MA,US,US,Warsofsky,David,D,COL
1988/08/05,Winnipeg,MB,CA,CA,Weise,Dale,RW,PHI
1990/07/03,Edina,MN,US,US,Lee,Anders,LW,NYI
1990/06/07,Chatham,ON,CA,CA,Brodie,TJ,D,CGY
1989/09/01,Halmstad,,SE,SE,Nyquist,Gustav,RW,DET
1990/04/20,Abbotsford,BC,CA,CA,Grant,Derek,C,ANA
1989/12/24,Brandon,MB,CA,CA,Calvert,Matt,LW,CBJ
1981/03/05,Minneapolis,MN,US,US,Martin,Paul,D,SJS
1990/06/20,Sterling Heights,MI,US,US,Pateryn,Greg,D,DAL
1984/10/29,Thunder Bay,ON,CA,CA,Staal,Eric,C,MIN
1984/01/19,Vienna,,AT,AT,Vanek,Thomas,LW,"VAN, CBJ"
1985/01/21,Madison,WI,US,US,Suter,Ryan,D,MIN
1985/02/27,Shaunavon,SK,CA,CA,Coburn,Braydon,D,TBL
1985/04/10,Edmonton,AB,CA,CA,Phaneuf,Dion,D,"OTT, LAK"
1985/01/01,London,ON,CA,CA,Carter,Jeff,C,LAK
1984/11/04,Ithaca,NY,US,US,Brown,Dustin,RW,LAK
1985/04/20,Richmond,BC,CA,CA,Seabrook,Brent,D,CHI
